happiness_id,country_id,year_id,Happiness_Score,Life_Satisfaction,Social_Support,Healthy_Life_Expectancy,Freedom,Generosity,Corruption_Perception,Public_Trust,Mental_Health_Index,Work_Life_Balance,Climate_Index
1125,20,2020,3.28,6.47,0.61,73.29,0.9,0.09,0.58,0.81,91.89,8.85,64.09
1126,3,2006,4.85,6.43,0.01,81.33,0.47,0.08,0.71,0.39,65.65,5.68,82.38
1127,4,2006,5.53,5.61,0.99,73.99,0.86,0.42,0.41,0.93,75.75,5.1,65.48
1128,7,2016,5.8,4.04,0.36,64.47,0.93,-0.05,0.74,0.15,71.53,4.52,46.19
1129,3,2012,6.64,6.11,0.85,62.65,0.09,0.25,0.13,0.34,99.2,3.3,93.43
1130,3,2013,4.77,6.0,0.53,75.83,0.1,-0.11,0.65,0.43,87.81,4.07,71.55
1131,19,2016,6.06,6.11,0.13,75.94,0.48,0.47,0.83,0.69,75.72,3.56,95.19
1132,19,2013,5.93,7.06,0.8,71.25,0.59,0.22,0.89,0.2,76.4,5.96,89.26
1133,6,2014,5.74,5.5,0.71,60.2,0.43,0.24,0.58,0.01,54.93,8.87,91.36
1134,8,2006,6.2,5.35,0.53,82.38,0.33,0.1,0.31,0.98,84.09,7.72,55.32
1135,6,2020,4.3,6.49,0.51,69.32,0.64,0.04,0.16,0.9,98.97,6.61,99.11
1136,5,2024,3.42,6.96,0.09,77.67,0.0,-0.05,0.35,0.3,47.77,5.92,89.67
1137,4,2011,3.6,6.84,0.66,57.5,0.97,0.22,0.54,0.48,78.24,6.7,53.63
1138,5,2006,4.12,8.41,0.91,62.04,0.23,0.47,0.2,0.49,71.07,5.26,92.75
1139,16,2005,5.5,7.85,0.09,80.61,0.92,0.05,0.95,0.87,91.02,4.07,82.87
1140,5,2023,7.2,4.26,0.26,51.75,0.11,0.42,0.9,0.6,40.0,6.54,80.76
1141,20,2008,6.51,6.82,0.9,67.93,0.24,-0.1,0.03,0.83,48.2,6.17,30.44
1142,5,2006,6.95,6.09,0.28,66.86,0.23,0.46,0.56,0.91,42.22,8.67,31.58
1143,6,2018,4.75,5.81,0.65,76.29,1.0,0.05,0.79,0.57,49.78,6.9,78.64
1144,7,2006,5.02,8.79,0.53,59.87,0.0,0.07,0.25,0.29,82.48,7.64,49.51
1145,7,2019,4.97,6.28,0.6,57.67,0.64,0.12,0.52,0.5,48.38,3.56,34.1
1146,19,2016,3.96,7.6,0.42,82.41,0.87,0.3,0.41,0.85,77.34,7.57,50.02
1147,4,2009,3.31,8.84,0.3,70.01,0.67,0.3,0.2,0.58,92.09,8.9,88.65
1148,4,2024,5.95,4.76,0.05,53.66,0.36,0.14,0.61,0.9,42.08,6.94,62.94
1149,20,2011,7.95,4.27,0.74,56.76,0.96,0.17,0.99,0.9,41.61,7.45,73.09
1150,6,2014,3.83,5.57,0.75,84.96,0.89,-0.18,0.37,0.37,99.39,8.88,86.04
1151,19,2018,3.23,4.22,0.67,56.85,0.43,0.01,0.55,0.45,80.4,5.35,52.64
1152,16,2018,6.9,4.58,0.64,71.37,0.57,0.04,0.33,0.68,48.44,7.95,30.78
1153,4,2009,4.26,8.96,0.24,64.7,0.97,0.19,0.88,0.11,58.4,5.4,52.63
1154,7,2022,7.15,8.8,0.02,81.0,0.98,0.19,0.86,0.47,99.1,5.56,96.97
1155,5,2018,6.52,7.46,0.81,76.43,0.45,0.3,0.18,0.15,53.63,6.95,63.76
1156,5,2006,7.73,7.76,0.49,70.89,0.85,0.3,0.9,0.85,85.17,4.54,69.89
1157,19,2016,5.04,4.7,0.31,50.38,0.3,-0.04,0.15,0.94,54.47,8.96,83.23
1158,6,2010,6.31,6.98,0.1,80.79,0.37,0.34,0.1,0.14,63.91,4.98,38.05
1159,6,2008,5.32,4.77,0.06,65.56,0.16,-0.19,0.65,0.67,92.84,3.74,81.38
1160,8,2017,6.15,5.89,0.35,82.61,0.21,0.3,0.39,0.64,41.71,4.94,50.84
1161,1,2008,5.25,5.73,0.8,67.34,0.66,-0.13,0.53,0.76,58.43,8.14,57.17
1162,4,2018,3.94,7.07,0.92,74.3,0.51,0.31,0.65,0.7,69.23,4.88,48.86
1163,6,2020,5.54,4.4,0.9,52.43,0.23,0.17,0.05,0.22,77.53,6.67,40.75
1164,7,2008,5.64,4.52,0.92,76.08,0.4,0.11,0.29,0.29,41.69,8.61,55.3
1165,19,2005,7.05,7.05,0.91,61.83,0.37,0.28,0.46,0.17,64.64,4.56,36.62
1166,16,2017,6.68,7.18,0.53,62.3,0.99,-0.17,0.27,0.92,60.66,3.79,89.13
1167,8,2008,6.32,5.7,0.22,54.15,0.85,-0.04,0.05,0.52,41.61,3.58,51.42
1168,3,2024,3.57,4.73,0.8,55.14,0.39,0.23,0.09,0.98,61.32,5.64,75.75
1169,20,2022,6.6,8.43,0.21,56.5,0.91,0.39,0.8,0.45,95.9,3.63,50.77
1170,16,2010,5.5,4.26,0.27,61.49,0.34,0.07,0.91,0.55,56.48,5.72,44.75
1171,3,2007,7.47,7.59,0.23,81.22,0.67,-0.02,0.15,0.79,75.14,8.18,79.96
1172,5,2017,7.6,4.7,0.51,62.89,0.97,0.16,0.25,0.8,57.89,7.66,73.68
1173,20,2020,3.28,7.19,0.32,75.35,0.39,0.24,0.65,0.23,46.4,6.49,45.27
1174,4,2009,7.1,7.32,0.15,52.9,0.68,0.09,0.95,0.29,57.38,8.1,72.85
1175,7,2008,3.19,8.02,0.45,70.69,0.3,0.41,0.3,0.1,68.25,3.6,30.35
1176,20,2012,4.84,5.98,0.87,66.87,0.27,0.17,0.86,0.81,57.77,6.66,42.38
1177,1,2023,5.71,4.11,0.57,84.23,0.57,-0.17,0.51,0.79,77.45,3.69,80.94
1178,3,2018,3.74,8.06,0.88,79.62,0.98,-0.04,0.96,0.08,96.95,5.89,58.71
1179,4,2011,6.73,6.22,0.2,65.92,0.45,0.12,0.14,0.26,44.16,5.78,44.25
1180,1,2018,3.04,8.24,0.17,77.13,0.94,0.29,0.97,0.45,83.02,4.59,65.41
1181,5,2010,3.84,7.88,0.58,56.76,0.91,-0.05,0.44,0.54,40.08,7.98,62.57
1182,1,2016,5.9,6.49,0.46,69.68,0.25,0.48,0.95,0.52,40.06,4.37,74.38
1183,8,2020,6.57,9.0,0.66,52.61,0.4,0.02,0.46,0.98,47.98,6.31,35.08
1184,8,2021,7.58,6.31,0.79,62.18,0.64,0.17,0.53,0.76,68.8,5.89,87.35
1185,19,2017,6.53,7.48,0.75,57.91,0.52,-0.19,0.8,0.11,42.88,5.59,34.08
1186,16,2018,6.36,7.35,0.94,75.16,0.1,0.42,0.72,0.29,83.33,3.2,61.77
1187,16,2011,4.97,6.59,0.4,67.15,0.99,0.35,0.62,0.35,41.76,7.18,79.73
1188,4,2018,3.01,6.93,0.21,76.29,0.75,-0.06,0.42,0.32,69.73,3.08,54.14
1189,5,2019,3.6,7.99,0.55,68.04,0.44,0.45,0.79,0.79,80.57,7.92,93.71
1190,6,2016,5.67,6.86,0.11,53.03,0.62,0.02,0.95,0.36,54.25,4.6,82.87
1191,8,2021,6.38,6.25,0.29,75.74,0.09,0.28,0.01,0.49,74.76,3.72,59.82
1192,4,2013,5.09,7.31,0.21,79.16,0.5,0.37,0.59,0.53,55.71,5.5,42.87
1193,6,2019,6.65,4.18,0.4,81.62,0.93,0.32,0.87,0.27,52.85,6.36,33.04
1194,16,2016,5.61,4.55,0.11,70.02,0.9,0.44,0.65,0.32,89.1,4.86,86.12
1195,19,2006,3.37,4.63,0.03,76.38,0.34,0.4,0.8,0.78,59.97,3.73,43.6
1196,1,2009,3.96,6.13,0.66,76.32,0.53,0.5,0.9,0.87,88.84,3.11,48.88
1197,8,2017,7.2,8.36,0.61,55.45,0.7,-0.07,0.75,0.04,53.01,7.22,30.73
1198,4,2024,6.62,7.22,0.71,55.75,0.34,0.01,0.72,0.61,61.35,8.32,31.28
1199,20,2012,7.47,8.86,0.66,52.48,0.06,0.25,0.96,0.63,46.16,3.6,46.13
1200,6,2018,3.59,4.2,0.11,61.2,0.51,0.31,0.86,0.74,69.79,4.38,91.1
1201,1,2019,7.95,7.61,0.29,66.57,0.6,0.17,0.82,0.69,62.9,3.12,84.66
1202,8,2015,4.05,5.57,0.13,84.93,0.01,-0.15,0.09,0.88,40.36,8.31,83.89
1203,16,2005,3.06,4.12,0.84,65.08,0.1,0.39,0.24,0.08,67.89,5.67,87.89
1204,5,2007,7.99,8.13,0.75,75.42,0.21,0.47,0.56,0.39,44.46,8.55,43.06
1205,6,2021,4.41,4.81,0.2,74.27,0.35,0.08,0.71,0.78,90.22,5.81,98.53
1206,16,2023,6.34,5.07,0.34,57.16,0.54,-0.04,0.3,0.85,69.62,8.17,46.25
1207,8,2018,3.88,5.7,0.97,52.05,0.29,-0.19,0.09,0.26,81.4,8.71,40.5
1208,6,2012,5.9,7.94,0.59,69.11,0.28,-0.03,0.31,0.59,89.27,5.01,50.63
1209,1,2017,7.52,7.12,0.8,74.51,0.87,0.29,0.77,0.18,43.07,6.84,67.13
1210,8,2024,4.6,5.32,0.26,84.94,0.15,0.44,0.88,0.85,60.23,7.0,38.71
1211,3,2007,6.35,4.84,0.21,62.55,0.5,-0.13,0.91,0.73,41.51,3.13,81.7
1212,4,2009,3.94,4.55,0.78,81.37,0.95,0.19,0.38,0.22,42.98,5.63,56.01
1213,1,2013,6.12,4.75,0.69,63.37,0.63,0.29,0.37,0.62,42.27,8.13,69.79
1214,6,2010,4.68,8.34,0.68,74.13,0.72,-0.01,0.41,0.51,68.67,8.68,81.4
1215,5,2006,4.06,8.61,0.55,70.94,0.43,0.2,0.38,0.26,67.04,8.4,93.13
1216,16,2017,4.57,8.84,0.56,51.85,0.02,0.3,0.67,0.89,43.67,8.84,87.35
1217,20,2009,3.89,8.17,0.74,52.74,0.65,0.39,0.36,0.15,55.74,6.92,67.62
1218,16,2012,7.51,8.44,0.27,50.73,0.63,0.12,0.02,0.47,54.67,4.4,99.38
1219,6,2005,4.99,8.08,0.35,62.98,0.11,0.32,0.44,0.58,57.8,6.45,67.08
1220,16,2024,4.23,8.79,0.87,76.1,0.46,0.01,0.22,0.82,78.45,5.53,67.52
1221,4,2016,5.24,8.23,0.31,56.05,0.92,-0.05,0.03,0.15,81.82,4.55,41.09
1222,8,2015,4.6,6.31,0.55,71.2,0.21,-0.07,0.47,0.61,60.34,7.64,40.41
1223,20,2011,6.72,5.62,0.7,60.11,0.46,0.05,0.21,0.01,87.29,6.78,41.81
1224,7,2019,7.86,6.92,1.0,77.89,0.46,-0.17,0.45,0.82,65.07,7.74,71.43
1225,6,2015,5.19,7.04,0.44,77.94,0.81,-0.0,0.28,0.23,71.34,4.62,59.06
1226,19,2020,7.31,6.87,0.43,77.14,0.82,0.26,0.6,0.72,48.73,8.42,57.01
1227,7,2007,5.83,7.53,0.84,68.37,0.76,0.25,0.99,0.6,53.97,4.43,38.93
1228,16,2024,3.79,7.49,0.81,59.96,0.37,-0.15,0.55,0.05,83.65,6.61,56.68
1229,6,2018,6.45,4.44,0.73,78.33,0.07,0.0,0.65,0.18,98.62,3.34,56.46
1230,3,2007,5.57,5.43,0.46,56.51,0.35,0.2,0.92,0.27,82.28,6.25,73.46
1231,19,2005,6.25,8.45,0.32,60.14,0.68,0.02,0.37,0.89,43.25,3.59,57.19
1232,20,2019,7.45,6.95,0.61,56.44,0.7,0.09,0.17,0.48,48.57,4.99,59.31
1233,5,2005,5.2,5.64,0.88,73.6,0.97,0.3,0.28,0.91,66.75,8.16,49.08
1234,3,2021,7.51,8.25,0.88,74.02,0.45,-0.19,0.4,0.05,83.95,8.36,39.21
1235,7,2006,6.75,5.25,0.11,72.84,0.63,-0.01,0.65,0.01,49.96,7.6,51.0
1236,8,2024,5.44,6.05,0.43,64.55,0.54,-0.1,0.0,0.95,85.05,5.21,32.99
1237,4,2010,6.02,5.38,0.46,53.51,0.15,-0.11,0.85,0.72,73.35,6.47,44.26
1238,5,2012,4.63,8.36,0.98,81.89,0.46,0.47,0.08,0.78,86.47,4.34,52.75
1239,3,2020,7.92,7.64,0.68,67.77,0.54,0.06,0.9,0.92,73.46,7.07,40.2
1240,8,2023,6.34,6.3,0.41,64.24,0.95,0.17,0.95,0.98,76.15,5.08,76.55
1241,8,2005,3.22,8.66,0.03,70.61,0.37,0.31,0.99,0.1,54.92,4.33,49.65
1242,6,2007,4.63,8.64,0.57,56.75,0.98,-0.17,0.81,0.16,83.21,6.51,73.09
1243,3,2007,6.12,7.56,0.1,54.64,0.54,-0.03,0.14,0.19,90.64,3.67,75.07
1244,20,2009,3.28,8.46,0.83,64.19,0.24,0.38,0.71,0.82,92.28,7.12,61.31
1245,16,2016,3.12,7.6,0.75,57.95,0.19,0.4,0.2,0.36,41.77,4.12,61.44
1246,19,2016,5.25,7.14,0.46,58.55,0.14,0.06,0.9,0.59,77.48,6.32,70.7
1247,19,2024,4.66,6.1,0.43,81.24,0.45,0.06,0.32,0.86,99.37,5.36,48.37
1248,7,2017,5.19,5.37,0.9,68.58,0.02,0.33,0.33,0.68,75.21,6.4,31.49
1249,7,2024,4.31,4.3,0.29,66.92,0.45,0.01,0.92,0.07,50.28,4.48,75.15
1250,19,2013,3.82,8.0,0.25,74.13,0.99,-0.12,0.01,0.45,92.66,4.86,72.6
1251,20,2011,6.45,4.61,0.94,83.3,0.67,-0.02,0.19,0.07,55.86,3.84,63.35
1252,4,2008,5.57,6.05,0.81,53.93,0.76,0.07,0.42,0.48,42.7,7.66,91.3
1253,1,2023,4.0,5.17,0.82,79.17,0.12,-0.16,0.7,0.22,65.83,3.42,65.6
1254,16,2023,4.6,6.27,0.2,70.44,0.47,0.14,0.65,0.0,46.02,5.26,51.24
1255,4,2010,5.96,5.57,0.14,55.12,0.29,0.32,0.67,0.81,46.91,5.69,79.95
1256,6,2017,3.36,8.15,0.03,60.4,0.89,0.16,0.88,0.97,67.8,4.17,97.37
1257,1,2015,3.74,8.89,0.24,66.88,0.18,-0.15,0.12,0.96,76.76,5.31,81.58
1258,1,2017,3.37,8.71,0.77,74.19,0.46,0.11,0.52,0.3,94.32,5.51,93.62
1259,3,2017,7.06,7.11,0.24,58.49,0.59,0.3,0.73,0.83,82.32,4.35,37.89
1260,20,2024,6.76,8.9,0.73,68.72,0.51,-0.16,0.64,0.68,90.56,6.84,38.47
1261,20,2019,6.77,6.0,0.25,73.96,0.83,-0.16,0.45,0.8,64.71,3.19,40.82
1262,1,2017,6.58,6.61,0.4,65.71,0.23,0.06,0.02,0.85,59.12,4.19,79.2
1263,3,2015,6.35,5.28,0.98,80.21,0.38,-0.06,0.06,0.98,75.57,6.74,57.28
1264,16,2023,5.38,8.49,0.24,80.43,0.79,0.45,0.12,0.15,81.73,6.77,63.44
1265,1,2012,6.21,4.9,0.38,66.47,0.53,0.21,0.34,0.77,74.1,4.59,48.33
1266,5,2024,3.19,7.05,0.3,84.05,0.4,0.0,0.12,0.73,55.87,7.1,81.53
1267,7,2012,6.11,8.0,0.11,52.65,0.03,0.29,0.43,0.29,62.18,5.82,89.17
1268,7,2014,6.89,6.98,0.49,50.12,0.75,0.06,0.18,0.39,66.9,6.16,41.21
1269,4,2020,5.5,4.39,0.38,63.32,0.97,-0.11,0.78,0.18,40.85,5.0,43.49
1270,6,2023,4.79,7.06,0.69,71.04,0.62,-0.03,0.87,0.91,92.79,8.91,53.76
1271,7,2015,4.39,7.84,0.82,72.02,0.86,0.25,0.39,0.88,70.68,7.42,49.61
1272,8,2017,6.21,4.94,0.54,66.68,0.52,-0.16,0.51,0.61,85.06,4.49,67.21
1273,4,2013,6.46,7.68,0.03,54.37,0.23,-0.01,0.95,0.51,50.31,4.42,82.68
1274,7,2024,7.35,8.39,0.62,55.97,0.01,-0.05,0.54,0.23,73.4,7.65,85.53
1275,6,2023,4.71,8.93,0.06,79.83,0.65,-0.06,1.0,0.79,95.57,5.33,44.59
1276,20,2020,6.85,6.05,0.62,80.38,0.49,0.28,0.14,0.01,52.86,3.55,42.29
1277,20,2011,5.81,4.13,0.69,73.59,0.78,0.38,0.86,0.46,60.75,3.21,55.46
1278,16,2023,7.41,6.1,0.2,73.25,0.69,0.3,0.5,0.86,63.3,5.48,40.34
1279,1,2016,5.64,7.3,0.82,70.92,0.99,0.25,0.02,0.62,63.0,5.49,36.43
1280,5,2019,5.59,8.46,0.91,57.1,0.51,0.44,0.97,0.64,76.04,7.24,46.98
1281,20,2018,5.89,8.69,0.81,64.99,0.43,-0.16,0.97,0.07,63.63,6.45,57.58
1282,3,2015,6.75,8.55,0.31,74.36,0.29,-0.08,0.38,0.29,80.44,7.62,71.15
1283,7,2014,7.82,7.29,0.59,68.8,0.48,0.09,0.95,0.67,69.07,4.91,80.63
1284,3,2015,3.37,7.41,0.91,50.65,0.87,0.06,0.14,0.05,49.46,6.75,45.6
1285,6,2010,3.27,4.01,0.32,83.37,0.04,0.09,0.68,0.33,96.91,8.31,87.31
1286,20,2006,7.69,5.82,0.82,79.57,0.98,-0.06,0.19,0.35,54.37,3.42,32.36
1287,5,2015,5.65,8.53,0.01,59.12,0.99,-0.1,0.25,0.5,73.75,7.25,61.08
1288,6,2023,6.07,7.45,0.0,71.58,0.6,0.16,0.78,0.36,43.64,7.3,74.32
1289,8,2010,5.41,6.34,0.76,82.31,0.33,0.45,0.38,0.45,95.12,7.76,50.39
1290,8,2018,3.47,4.52,0.76,53.36,0.22,0.07,0.01,0.55,95.68,4.61,77.86
1291,3,2024,6.84,5.23,0.79,67.61,0.28,-0.17,0.41,0.13,61.87,5.5,90.69
1292,1,2010,6.74,6.77,0.93,65.97,0.05,0.29,0.23,0.18,47.26,4.44,36.26
1293,4,2021,4.56,8.49,0.12,64.36,0.48,0.0,0.68,0.83,86.2,4.85,65.88
1294,1,2014,4.53,4.48,0.23,79.25,0.06,-0.03,0.19,0.46,55.74,8.81,31.31
1295,16,2005,7.19,4.77,0.9,63.32,0.72,0.03,0.84,0.36,82.04,5.67,49.57
1296,1,2007,3.36,7.28,0.18,52.23,0.37,0.31,0.27,0.43,94.91,8.09,39.59
1297,16,2012,7.41,5.47,0.68,52.3,0.2,0.37,0.39,0.17,75.41,7.77,73.7
1298,16,2012,4.28,4.85,0.53,51.5,0.54,0.21,0.3,0.24,91.67,5.67,47.41
1299,5,2024,5.96,4.89,0.08,64.32,0.97,0.03,0.64,0.52,53.48,8.95,49.77
1300,20,2019,7.68,6.46,0.29,75.14,0.7,0.02,0.1,0.36,94.63,8.04,44.39
1301,5,2011,6.39,6.92,0.52,57.13,0.49,-0.11,0.48,0.48,53.6,5.9,47.07
1302,16,2015,5.07,8.52,0.85,72.63,0.78,0.45,0.33,0.15,53.55,4.86,45.76
1303,6,2011,6.45,6.65,0.71,74.05,0.74,0.25,0.88,0.16,92.79,3.45,78.85
1304,8,2008,4.72,7.46,0.62,58.93,0.89,-0.18,0.07,0.38,73.29,5.79,96.91
1305,16,2016,4.39,4.9,0.5,71.02,0.2,0.26,0.83,0.38,87.97,5.16,64.32
1306,5,2010,7.98,7.57,0.3,73.97,0.86,0.11,0.17,0.88,88.15,7.27,72.03
1307,6,2018,6.75,7.24,0.12,66.33,0.3,0.48,0.09,0.03,78.82,3.12,87.27
1308,5,2016,6.22,5.08,0.41,61.79,0.94,0.37,0.2,0.99,51.34,7.99,63.33
1309,1,2015,4.78,7.35,0.03,71.67,0.28,-0.08,0.1,0.96,81.53,5.5,51.14
1310,7,2023,3.25,5.06,0.21,84.22,0.93,0.3,0.52,0.54,43.82,5.82,96.57
1311,3,2009,3.16,6.97,0.43,64.94,0.96,0.14,0.99,0.72,52.04,4.1,93.43
1312,4,2018,5.77,7.34,0.42,63.71,0.15,-0.07,0.03,0.94,78.57,8.62,45.43
1313,5,2020,6.81,7.47,0.04,66.25,0.97,0.29,0.46,0.25,94.47,5.39,79.22
1314,4,2017,5.69,8.55,0.59,52.67,0.09,0.18,0.39,0.32,86.3,8.06,75.3
1315,19,2024,7.2,8.74,0.55,69.36,0.22,-0.18,0.34,0.11,59.95,4.42,75.47
1316,5,2008,3.17,8.05,0.08,61.5,0.44,0.25,0.33,0.56,89.42,3.58,88.14
1317,7,2015,4.83,8.39,0.94,54.25,0.99,0.24,0.9,0.16,98.0,6.81,77.19
1318,4,2021,4.19,4.1,0.1,66.32,0.49,-0.1,0.02,0.93,59.92,8.91,66.26
1319,16,2011,5.24,5.81,0.85,50.12,0.55,0.04,0.77,0.43,51.21,6.88,89.22
1320,5,2018,3.36,4.2,0.0,64.06,0.69,0.21,0.25,0.92,51.85,6.65,48.54
1321,20,2015,7.77,5.12,0.88,53.7,0.97,-0.1,0.38,0.21,64.02,5.65,77.55
1322,3,2013,4.12,5.91,0.02,50.85,0.78,0.4,0.42,0.69,43.14,4.7,79.11
1323,7,2017,7.61,8.34,0.76,78.86,0.22,-0.18,0.3,0.65,69.27,5.58,90.92
1324,4,2022,5.13,6.56,0.36,82.07,0.3,-0.13,0.09,0.4,83.94,3.89,99.88
1325,7,2015,7.93,7.24,0.74,57.27,0.1,-0.12,0.11,0.9,71.83,4.57,69.03
1326,6,2019,5.77,5.81,0.4,68.88,0.64,0.17,0.3,0.43,98.2,5.92,63.91
1327,3,2023,7.65,7.01,0.07,59.73,0.18,0.23,0.82,0.2,67.7,3.87,72.05
1328,16,2005,3.03,8.08,0.77,67.28,0.26,0.08,0.13,0.98,40.8,7.75,76.11
1329,5,2008,6.74,5.51,0.07,65.28,0.89,0.0,0.74,0.44,68.21,3.07,79.91
1330,5,2018,7.52,8.66,0.92,59.42,0.33,0.37,0.29,0.21,95.79,4.93,49.69
1331,5,2018,3.7,5.07,0.05,74.51,0.57,-0.15,0.88,0.36,45.75,6.1,64.09
1332,3,2007,3.48,8.6,0.48,54.43,0.4,-0.0,0.43,0.61,53.38,8.57,55.96
1333,20,2021,5.12,4.14,0.72,51.86,0.07,-0.17,0.17,0.51,82.93,6.44,32.71
1334,19,2007,7.67,6.71,0.39,76.87,0.36,-0.19,0.99,0.64,57.65,4.77,72.67
1335,8,2020,5.71,8.93,0.22,73.31,0.41,0.05,0.18,0.66,85.91,5.11,91.24
1336,1,2018,5.64,7.05,0.76,67.45,0.9,-0.06,0.57,0.12,65.16,5.03,94.5
1337,4,2024,3.71,6.77,0.78,66.37,0.32,-0.01,0.57,0.31,87.76,4.08,66.22
1338,20,2017,3.0,7.41,0.92,67.41,0.38,0.37,0.37,0.75,73.09,3.87,83.61
1339,16,2019,7.05,5.45,0.38,65.3,0.78,-0.09,0.95,0.65,44.95,5.88,79.87
1340,4,2018,3.44,4.27,0.51,63.75,0.76,0.35,0.84,0.09,63.17,4.62,46.02
1341,5,2023,6.17,5.26,0.36,67.49,0.8,0.27,0.83,0.32,59.99,3.55,34.4
1342,7,2010,7.57,4.88,0.26,68.5,0.95,0.03,0.97,0.93,88.6,4.3,82.35
1343,16,2014,4.04,8.62,0.75,74.22,0.8,0.18,0.46,0.86,77.49,6.12,49.79
1344,4,2019,6.33,8.26,0.34,74.89,0.41,0.11,0.1,0.67,86.64,4.54,68.46
1345,5,2024,3.39,5.59,0.43,63.22,0.82,-0.11,0.77,0.07,62.33,4.43,66.68
1346,4,2010,6.02,8.18,0.4,64.47,0.51,0.44,0.38,0.61,81.5,6.72,87.25
1347,7,2014,3.82,5.06,0.71,63.08,0.28,0.2,0.19,0.01,43.91,7.14,75.13
1348,5,2011,6.68,5.0,0.92,68.78,0.3,0.42,0.48,0.66,42.2,4.45,89.3
1349,19,2021,4.51,7.84,0.67,65.87,0.22,0.38,0.93,0.73,57.25,5.83,82.66
1350,20,2022,5.32,5.63,0.47,81.14,0.14,-0.14,0.17,0.5,86.42,7.59,99.99
1351,6,2021,6.0,4.32,0.78,74.37,0.18,-0.05,0.85,0.0,72.05,7.14,90.47
1352,1,2013,3.86,7.6,0.64,81.45,0.06,-0.1,0.42,0.67,64.53,3.42,44.78
1353,3,2014,6.71,8.95,0.06,74.82,0.89,0.38,0.14,0.82,93.8,5.16,97.3
1354,1,2014,4.51,6.83,0.1,83.98,0.93,0.4,0.85,0.59,69.84,7.34,53.81
1355,16,2011,6.31,5.32,0.04,72.25,0.59,0.17,0.97,0.71,76.8,4.08,72.55
1356,1,2020,3.79,5.86,0.46,83.72,0.84,-0.13,0.29,0.09,99.15,4.18,95.89
1357,5,2022,6.44,7.24,0.83,55.54,0.18,-0.11,0.3,0.72,71.34,6.78,44.99
1358,19,2010,3.64,7.51,0.31,51.84,0.9,0.37,0.39,0.61,87.01,4.7,90.01
1359,6,2024,5.13,8.43,0.38,70.27,0.51,0.45,0.81,0.33,64.83,4.94,96.72
1360,20,2005,4.24,8.54,0.91,84.42,0.07,-0.06,0.01,0.69,42.18,6.14,89.76
1361,20,2005,6.74,8.31,0.84,64.62,0.14,-0.19,0.22,0.65,90.07,7.5,87.34
1362,7,2016,4.31,7.24,0.67,57.42,0.31,0.03,0.71,0.6,96.66,5.99,48.52
1363,3,2006,7.41,6.25,0.27,68.25,0.04,-0.18,0.41,0.18,66.06,8.36,58.5
1364,4,2008,7.46,7.4,0.12,72.71,0.31,0.38,0.33,0.3,70.22,3.64,83.22
1365,19,2021,3.98,7.33,0.02,61.03,0.06,0.14,0.87,0.99,65.45,7.52,38.27
1366,4,2008,6.07,5.09,0.11,75.02,0.24,0.25,0.92,0.43,99.81,6.26,92.19
1367,6,2015,3.44,6.54,0.29,84.13,0.27,0.09,0.95,0.06,94.2,7.9,44.72
1368,1,2008,4.96,5.04,0.55,81.39,0.99,0.04,0.27,0.9,42.47,4.9,69.54
1369,20,2005,6.57,8.5,0.06,60.21,0.24,-0.04,0.91,0.17,86.74,5.89,37.35
1370,6,2011,6.3,5.62,0.14,61.44,0.24,0.34,0.74,0.4,76.05,7.94,42.96
1371,1,2022,6.12,8.03,0.18,63.0,0.69,0.29,0.15,0.28,41.51,7.99,70.99
1372,20,2013,4.41,5.89,0.63,63.81,0.86,0.05,0.61,0.96,66.68,5.26,74.42
1373,1,2007,4.89,7.82,0.62,53.51,0.39,0.02,0.03,0.38,48.98,7.93,48.88
1374,3,2012,3.51,5.1,0.55,76.67,0.88,-0.2,0.71,0.71,92.38,7.09,38.34
1375,19,2023,6.6,7.82,0.25,62.79,0.34,-0.16,0.73,0.6,40.76,5.46,68.47
1376,16,2008,5.52,4.9,0.37,80.79,0.2,0.24,0.79,0.04,92.39,8.82,88.84
1377,6,2022,6.54,6.45,0.1,82.44,0.33,0.16,0.17,0.38,96.45,3.19,44.1
1378,6,2024,4.24,4.57,0.23,50.86,0.61,0.1,0.63,0.39,44.38,5.3,78.41
1379,8,2015,4.62,6.64,0.9,84.6,0.37,0.38,0.18,0.99,83.19,4.84,57.01
1380,5,2018,4.67,8.1,0.98,74.85,0.67,0.15,0.95,0.81,72.93,8.61,96.02
1381,3,2022,3.13,7.78,0.65,68.21,0.24,0.07,0.68,0.86,97.26,3.6,35.78
1382,3,2020,4.71,4.25,0.92,63.63,0.7,-0.09,0.1,0.31,87.89,6.77,32.8
1383,4,2007,7.02,6.46,0.64,68.15,0.35,0.37,0.19,0.33,81.66,7.3,38.7
1384,1,2019,7.49,8.26,0.03,61.36,0.46,0.2,0.66,0.52,95.53,4.11,84.77
1385,5,2008,5.59,7.25,1.0,71.79,0.56,-0.14,0.48,0.63,49.62,3.9,94.59
1386,19,2009,5.28,4.3,0.1,53.25,0.69,0.25,0.74,0.73,62.56,3.29,87.57
1387,19,2021,3.15,5.63,0.68,71.74,0.24,0.1,0.28,0.82,90.58,3.95,80.25
1388,3,2011,7.4,6.78,0.25,59.64,0.84,0.37,0.66,0.87,46.1,7.85,34.03
1389,19,2020,3.07,4.86,0.39,50.62,0.72,0.44,0.18,0.02,96.13,8.66,44.97
